2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
-1.78665781,-1.599519968,-1.615560889,-1.458242536,-1.50511539,-1.534291387,-1.812298059,-1.694117546,-1.665165424,-1.689633727,
1.304415464,1.205059886,1.17229867,1.127179742,1.131797075,1.106405497,1.185246229,1.121519446,1.069366932,1.155644417,
-0.298916966,-0.52790606,-0.378653169,-0.274004251,-0.217279762,-0.225939274,-0.15607816,-0.175023496,-0.003985524,-0.091396242,
0.790612221,0.691195607,0.718360543,0.70651567,0.712513387,0.724858284,0.728713989,0.705309868,0.701679826,0.645315766,
,,,0.208083943,,0.362890244,0.293532729,,,0.47238034,
0.921506405,0.998390973,0.960023105,1.033112645,1.024869084,1.064394474,1.002343178,1.02655673,0.985401094,1.064277649,
-0.553297222,-0.569441199,-0.555909395,-0.654883742,-0.629235148,-0.706534863,-0.646835566,-0.687563419,-0.602687955,-0.625526786,
-0.234162778,-0.149349898,-0.304625303,-0.729970038,-0.792587876,-0.822536409,-0.573951423,-0.599363983,-0.599521577,-0.605611205,
-0.837242424,-0.878685534,-0.692239404,-0.757155478,-0.805622458,-0.689593911,-0.713739693,-0.695436656,-0.735161185,-0.643422961,
,-0.065930605,-0.036223382,-0.123735443,-0.219685867,-0.245775267,-0.254226625,-0.438526899,-0.339310467,-0.323726535,
0.492690623,0.599198759,,0.528388739,0.614571154,0.682029366,0.66835165,0.645110488,0.660759449,0.628388107,
-1.148957253,-0.95846653,-0.978156686,-0.974210739,-1.025322914,-1.047667384,-1.059124351,-1.08255887,-1.069690228,-1.085361362,
,,,0.147347569,,,,,-0.100437164,-0.105936453,
-0.735011876,,-0.339957416,,,,-0.445641518,-0.519526303,-0.269059271,-0.216689959,
,,,,-1.243850827,,,-1.769095659,-1.856518984,-1.884452581,
0.797956586,0.766684294,0.815447628,0.765863121,0.857859731,0.952275991,0.851863742,0.866817832,0.914101243,0.882906199,
,1.50280714,1.518027306,1.460983038,1.490909815,1.483172178,1.466502905,1.493052721,1.45981288,1.42865932,
-0.398103029,,,-0.792465925,-0.709703803,-0.711675286,-0.528770864,-0.402996004,-0.300410032,-0.337169588,
,-0.047780816,,-0.159166113,-0.104385272,-0.192281902,0.008397531,0.013314454,-0.072647721,-0.151014924,
-0.227433905,-0.273138225,-0.178312987,-0.19873257,-0.175875798,-0.143943816,-0.046841979,-0.066252634,,,
0.20643872,-0.00297815,-0.012395941,-0.270239979,-1.264929414,-1.003334999,-0.937695801,-0.945022464,-0.902928174,-1.083188891,
,1.20085144,1.210334539,1.103641868,1.115231514,1.099665165,1.154881597,1.133332491,1.13834691,1.217456341,
-0.792426348,-0.904128671,-0.992717862,-1.050637603,-1.022454023,-0.987090647,-0.742465556,-0.762823462,-0.761087239,-0.709610879,
,,,0.871115565,,,0.804431081,,0.91341877,0.892901719,
-0.33441925,-0.242725641,-0.273978293,-0.273038357,-0.274854422,-0.302915752,-0.426801324,-0.437031597,-0.349140942,-0.362546623,
-0.289065599,-0.441046119,-0.218290031,0.000105379,0.006032201,-0.035258129,-0.073721215,-0.149429277,-0.162387952,-0.134786367,
0.404797912,,0.342749417,0.329299569,0.268304914,0.300138146,0.516672909,0.493308246,0.564851582,0.554071605,
,0.52902925,0.386984617,0.386616051,0.40723449,0.341442645,0.189877763,0.142402023,0.176307648,0.068295658,
,,-0.540801466,-0.551106811,-0.53806299,-0.59579885,,-0.48488301,-0.469432235,-0.53093636,
0.154384434,,,0.066263817,,,,-0.391963124,,-0.699048221,
,,,,-1.281897187,-1.300999403,-1.215786576,-1.191992521,-0.801185012,-0.974802852,
,,,,,,0.581020594,,,0.598779202,
-1.165283442,-1.030482292,-1.015731931,-0.930784702,-1.011797905,-0.828860402,-0.577528298,-0.706880033,-0.549837351,-0.448143601,
1.174056292,,1.195659637,1.325339317,1.396525145,1.355394006,1.296198368,1.243579149,1.226236224,1.242932796,
1.320583105,,1.371997356,1.477903485,1.489543796,1.530002117,1.496155739,1.540097475,1.525762916,1.575009227,
-0.2948201,-0.372456759,-0.488672405,-0.423232943,-0.442559004,-0.353432059,-0.218253791,-0.250673711,-0.385151982,-0.382219225,
-0.555156648,-0.944112301,-0.913854659,-0.562366903,-0.716379225,-0.814044535,-0.68548876,-0.639601648,-0.76696682,-0.858492196,
-1.298116446,-1.421971917,-1.494105101,,-1.371146798,-1.390753269,,-1.146020055,-1.09586072,-1.142486572,
1.416594267,,,,1.527816534,,1.402022839,1.424758792,1.432126164,1.422639132,
,,,-0.314025074,,,,,,,
-1.705630779,-1.75028193,-1.737298131,-1.81961751,-1.760292888,-1.70139122,-1.558651567,-1.602370262,-1.592067957,-1.546954513,
0.251812726,0.32747215,0.210575163,0.253209829,0.144992143,0.141505435,0.357318044,0.472272336,0.467671543,0.455257624,
-0.420215845,-0.508353591,-0.456897646,-0.387943298,-0.492819548,-0.420400292,-0.095734909,-0.015721638,0.03972324,0.037547644,
-0.369285375,-0.548198462,-0.444388956,-0.314755052,-0.396550894,-0.360477358,-0.179069921,-0.085113473,0.032944828,0.008478746,
-0.95853287,-0.877691627,-0.844931066,-0.706042171,-0.60896349,-0.538953006,-0.27727744,-0.354305804,-0.608859897,-0.577247143,
,0.982480645,1.02746582,1.049845338,1.056877136,0.98574698,0.97402674,0.957257986,0.675346136,0.651249409,
1.095159054,,0.912445068,0.924824893,0.90190047,0.907849073,0.956860006,1.023220062,1.065478444,1.14347434,
,0.110039175,0.070845008,0.044906914,0.150912732,,,-0.074040085,,,
,0.412251323,0.352862179,0.281113923,0.200435579,0.245328277,0.238631472,0.337605774,0.4084723,0.287310094,
